"var","Plant","Leaf"
"4.RR.BRS_399",4,3
"5.RR.BRS_359",4,3
"6.RR.BRS_360",4,3
"7.IPRO.DM_6563",4,3
"8.IPRO.M_6410",4,3
"9.IPRO.BRB_11-00329",4,3
"10.IPRO.BRB_11-01351",4,3
"11.IPRO.BRB_11-01964",4,3
"12.IPRO.BRB_11-01997",4,3
"13.IPRO.BRB_11-02865",4,3
"14.IPRO.BRB_12-20626",4,3
"15.IPRO.BRB_12-20628",4,3
"16.IPRO.BRB_12-20634",4,3
"17.CV.BRS_397",4,3
"18.CV.BRS_391",4,3
"19.RR.M9144",4,3
"1.RR.NA_5909",5,3
"2.RR.BMX_Potencia",5,3
"3.RR.BRS_388",5,3
"4.RR.BRS_399",5,3
"5.RR.BRS_359",5,3
"6.RR.BRS_360",5,3
"7.IPRO.DM_6563",5,3
"8.IPRO.M_6410",5,3
"9.IPRO.BRB_11-00329",5,3
"10.IPRO.BRB_11-01351",5,3
"11.IPRO.BRB_11-01964",5,3
"12.IPRO.BRB_11-01997",5,3
"13.IPRO.BRB_11-02865",5,3
"14.IPRO.BRB_12-20626",5,3
"15.IPRO.BRB_12-20628",5,3
"16.IPRO.BRB_12-20634",5,3
"17.CV.BRS_397",5,3
"18.CV.BRS_391",5,3
"19.RR.M9144",5,3
"1.RR.NA_5909",6,3
"2.RR.BMX_Potencia",6,3
"3.RR.BRS_388",6,3
"4.RR.BRS_399",6,3
"5.RR.BRS_359",6,3
"6.RR.BRS_360",6,3
"7.IPRO.DM_6563",6,3
"8.IPRO.M_6410",6,3
"9.IPRO.BRB_11-00329",6,3
"10.IPRO.BRB_11-01351",6,3
"11.IPRO.BRB_11-01964",6,3
"12.IPRO.BRB_11-01997",6,3
"13.IPRO.BRB_11-02865",6,3
"14.IPRO.BRB_12-20626",6,3
"15.IPRO.BRB_12-20628",6,3
"16.IPRO.BRB_12-20634",6,3
"17.CV.BRS_397",6,3
"18.CV.BRS_391",6,3
"19.RR.M9144",6,3
