# Effect of Beet necrotic yellow vein virus on aerial and root biomass of two beet cultivars;;;;;;;
"# 1 Experiment seasons:  (1) 14/05/17  to 22/08/17; (2) 09/09/17 to 05/12/17";;;;;;;
# 2 Beet Genotypes: (1) Boro, (2) Bohan;;;;;;;
# 3 Treatments (1) non-inoculated, (2) inoculated;;;;;;;
# 4 Pots (repetitions) per treatment n=8 ;;;;;;;
# 5 Plants/plot (subsamples) i=3;;;;;;;
# 6 Aerial Fresh plant biomass;;;;;;;
# 7 Aerial dry plant biomass;;;;;;;
# 8 Root biomass;;;;;;;
;;;;;;;
exp;geno;trt;pot;pl;freshm;drym;root
2;1;2;5;1;1,29;0,5;14,18
2;1;2;5;2;17,19;2,11;34,76
2;1;2;5;3;30,8;3,21;27,26
2;1;2;6;1;6,82;0,69;9,69
2;1;2;6;2;12,63;1,5;21,89
2;1;2;6;3;13,04;1,48;15,55
2;1;2;7;1;9,28;1,07;4,53
2;1;2;7;2;42,48;4,63;45,28
2;1;2;7;3;2,88;1,51;1,5
2;1;2;8;1;.;.;.
2;1;2;8;2;29,11;4,05;47,36
2;1;2;8;3;22,11;2,43;20,59
2;2;1;1;1;48,37;5,09;68,79
2;2;1;1;2;56,47;5,14;51,43
2;2;1;1;3;79,38;8,65;173,66
2;2;1;2;1;62,26;6,38;152,07
2;2;1;2;2;53,69;5,18;64,11
2;2;1;2;3;122,14;12,91;269,03
2;2;1;3;1;73,9;7,1;125,55
2;2;1;3;2;91,11;8,99;179,96
2;2;1;3;3;93,82;9,23;153,58
2;2;1;4;1;75,88;9,05;165,86
2;2;1;4;2;80,72;8,31;146,24
2;2;1;4;3;61,99;7,09;120,21
2;2;1;5;1;36,56;3,53;65,22
2;2;1;5;2;72,07;7,75;108,04
2;2;1;5;3;75,67;8,08;136,45
2;2;1;6;1;42,58;4,46;58,78
2;2;1;6;2;49,18;5,27;107,35
2;2;1;6;3;115,48;12,45;99,72
2;2;1;7;1;52,45;6,05;105,26
2;2;1;7;2;61,41;6,53;92,35
2;2;1;7;3;107,99;11,41;102,72
2;2;1;8;1;32,73;3,94;77,07
2;2;1;8;2;113,68;12,1;199,44
2;2;1;8;3;46,7;4,78;82,39
2;2;2;1;1;67,56;7,22;115,65
2;2;2;1;2;70,38;7,3;98,1
2;2;2;1;3;16,44;1,43;8,6
2;2;2;2;1;14,3;1,28;4,82
2;2;2;2;2;49,71;5,93;57,76
2;2;2;2;3;48,37;5,54;121,26
2;2;2;3;1;24,93;2,36;15,71
2;2;2;3;2;28,62;3,03;18,68
2;2;2;3;3;8,54;2,25;18,74
2;2;2;4;1;57,77;6,2;53,21
2;2;2;4;2;45,27;5,37;83,6
2;2;2;4;3;39,86;4,09;55,3
2;2;2;5;1;32,77;3,53;40,78
2;2;2;5;2;.;.;.
2;2;2;5;3;17,16;1,52;6,35
2;2;2;6;1;5,89;0,21;3,26
2;2;2;6;2;.;.;.
2;2;2;6;3;57,14;6,05;64,18
2;2;2;7;1;40,16;4,49;48,12
2;2;2;7;2;47,58;4,79;53,9
2;2;2;7;3;46,46;4,9;36,55
2;2;2;8;1;91,13;9,44;79,16
2;2;2;8;2;8,44;1,1;4,79
2;2;2;8;3;40,07;3,94;26,32
