trt,hibr,ph,planta,altura,ps,p,zn,nit,fe,spad
sulfato,1,neutro,6,166,127.90000000000002,NA,NA,NA,NA,NA
sulfato,1,neutro,7,248,307.21,NA,NA,NA,NA,NA
sulfato,1,neutro,8,187,80.1,NA,NA,NA,NA,NA
sulfato,1,neutro,9,240,108.56,NA,NA,NA,NA,NA
sulfato,1,neutro,10,NA,NA,NA,NA,NA,NA,NA
sulfato,1,alcalino,1,229.99999999999997,184.32,367.9655121,3.973740618,0.13154508547008545,21.94882002,23.9
sulfato,1,alcalino,2,265,123.8,314.1693846,4.303690199999999,0.1014942839566929,21.94882002,17.86
sulfato,1,alcalino,3,263,119.93,206.5771296,3.6794689999999997,0.12683138657407403,29.19336519,15.15
sulfato,1,alcalino,4,192,175.74,222.35732699999997,3.8226389999999997,0.11629928115799802,22.80955806,23.25
sulfato,1,alcalino,5,256,131.4,310.96524,3.9944429999999995,0.12726987019230765,21.66190734,18.55
sulfato,1,alcalino,6,254,142.68,NA,NA,NA,NA,NA
sulfato,1,alcalino,7,248,76.23,NA,NA,NA,NA,NA
sulfato,1,alcalino,8,262,158.61,NA,NA,NA,NA,NA
sulfato,1,alcalino,9,184,96.15,NA,NA,NA,NA,NA
sulfato,1,alcalino,10,252.99999999999997,222.79,NA,NA,NA,NA,NA
sulfato,2,neutro,1,208,387.86,317.3954238,4.279861638000001,0.40523910447761197,23.619180000000004,12.5
sulfato,2,neutro,2,200,188.17,314.0777016,3.774654000000001,0.3906902654867257,19.574560980000005,15.45
sulfato,2,neutro,3,198,165.76,251.04097980000003,2.7868866480000007,0.37728854599406536,25.104097980000002,20.5
sulfato,2,neutro,4,199,216.47,270.18576,2.4502140000000003,0.5382884688090737,22.89228318,13.24
sulfato,2,neutro,5,189,217.51,341.72538660000004,2.8753592400000008,0.41081583254043774,20.459286900000002,20.52
sulfato,2,neutro,6,166,374.08,NA,NA,NA,NA,NA
sulfato,2,neutro,7,195,211.43,NA,NA,NA,NA,NA
sulfato,2,neutro,8,195,118.4,NA,NA,NA,NA,NA
sulfato,2,neutro,9,180,210.39,NA,NA,NA,NA,NA
sulfato,2,neutro,10,181,117.34,NA,NA,NA,NA,NA
sulfato,2,alcalino,1,210,159.58,345.8655504,3.639736944,0.1296418658892128,14.848678079999999,12.05
sulfato,2,alcalino,2,147,127.88,327.7574064,4.048128,0.2008197055937193,14.4865152,9.35
