study,year,cultivar,fungic,rep,sev,yield,Yld_level,YR_class,gr_hab,sev_check
2,2012,TMG803,TIOF[1],2,30,3106,2High,2High,D,36.2
2,2012,TMG803,TIOF[1],3,30,3075,2High,2High,D,36.2
2,2012,TMG803,TIOF[1],4,30,3700,2High,2High,D,36.2
2,2012,TMG803,ZZ_CHECK,1,40,3135,2High,2High,D,36.2
2,2012,TMG803,ZZ_CHECK,2,40,2284,2High,2High,D,36.2
2,2012,TMG803,ZZ_CHECK,3,35,3517,2High,2High,D,36.2
2,2012,TMG803,ZZ_CHECK,4,30,3047,2High,2High,D,36.2
3,2012,TMG803,CZM[1],1,40,2988,1Low,2High,D,41.2
3,2012,TMG803,CZM[1],2,35,2361,1Low,2High,D,41.2
3,2012,TMG803,CZM[1],3,35,2341,1Low,2High,D,41.2
3,2012,TMG803,CZM[1],4,35,3218,1Low,2High,D,41.2
3,2012,TMG803,CZM_CM_TEBU[1],1,35,2744,1Low,2High,D,41.2
3,2012,TMG803,CZM_CM_TEBU[1],2,30,2579,1Low,2High,D,41.2
3,2012,TMG803,CZM_CM_TEBU[1],3,30,2598,1Low,2High,D,41.2
3,2012,TMG803,CZM_CM_TEBU[1],4,25,2718,1Low,2High,D,41.2
3,2012,TMG803,CZM+LS[1+0.5],1,40,2807,1Low,2High,D,41.2
3,2012,TMG803,CZM+LS[1+0.5],2,35,2907,1Low,2High,D,41.2
3,2012,TMG803,CZM+LS[1+0.5],3,40,2989,1Low,2High,D,41.2
3,2012,TMG803,CZM+LS[1+0.5],4,30,2866,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[0.8],1,20,3443,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[0.8],2,20,2586,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[0.8],3,20,2588,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[0.8],4,20,3012,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[1],1,18,3672,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[1],2,20,2949,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[1],3,25,3205,1Low,2High,D,41.2
3,2012,TMG803,EPO_FLUX_PYRA[1],4,20,2679,1Low,2High,D,41.2
3,2012,TMG803,FLUO[0.4],1,25,3115,1Low,2High,D,41.2
3,2012,TMG803,FLUO[0.4],2,20,2686,1Low,2High,D,41.2
3,2012,TMG803,FLUO[0.4],3,25,2388,1Low,2High,D,41.2
3,2012,TMG803,FLUO[0.4],4,15,3049,1Low,2High,D,41.2
3,2012,TMG803,PROT_TRIF[0.4],1,35,3194,1Low,2High,D,41.2
3,2012,TMG803,PROT_TRIF[0.4],2,30,2362,1Low,2High,D,41.2
